1_11_2,0,1,4,1,11,2,0.1
2_3_2.0091360676298122,0,1,20,4,3,2.0091360676298122,0.1
3_12_4,0,1,13,0,12,4,0.1
4_11_4,0,1,4,2,11,4,0.1
5_3_0.6511180112865977,0,1,8,1,3,0.6511180112865977,0.1
6_2_0.8256027576143433,0,0,9,1,2,0.8256027576143433,0.1
7_10_3,0,1,14,2,10,3,0.1
8_5_2.163111422917382,0,0,5,2,5,2.163111422917382,0.1
9_12_4,0,0,13,1,12,4,0.1
10_12_2,0,2,5,0,12,2,0.1
11_3_0.8226389569603898,0,2,4,0,3,0.8226389569603898,0.1
12_12_4,0,2,7,1,12,4,0.1
13_12_4,0,2,16,2,12,4,0.1
14_11_4,0,1,6,1,11,4,0.1
15_3_1.0047072713996856,0,1,16,1,3,1.0047072713996856,0.1
16_10_3,0,2,5,1,10,3,0.1
17_3_1.8385646364355344,0,1,18,4,3,1.8385646364355344,0.1
18_11_4,0,2,14,2,11,4,0.1
